length,nSegments,instanceSpace,wdCount,bCount,zCount
5,2,4,0,0,0
5,3,6,0,0,0
5,4,4,0,0,0
6,2,5,0,0,0
6,3,10,0,0,0
6,4,10,0,0,0
6,5,5,0,0,0
7,2,6,0,0,0
7,3,15,0,0,0
7,4,20,0,0,0
7,5,15,0,0,0
7,6,6,0,0,0
8,2,7,0,0,0
8,3,21,0,0,0
8,4,35,0,0,0
8,5,35,0,0,0
8,6,21,0,0,0
8,7,7,0,0,0
9,2,8,0,0,0
9,3,28,0,0,0
9,4,56,0,0,0
9,5,70,0,0,0
9,6,56,0,0,0
9,7,28,0,0,0
9,8,8,0,0,0
10,2,9,0,0,0
10,3,36,0,0,0
10,4,84,4,4,0
10,5,126,0,0,0
10,6,126,0,0,0
10,7,84,0,0,0
10,8,36,0,0,0
10,9,9,0,0,0
11,2,10,0,0,0
11,3,45,0,0,0
11,4,120,12,12,0
11,5,210,8,8,0
11,6,252,0,0,0
11,7,210,0,0,0
11,8,120,0,0,0
11,9,45,0,0,0
11,10,10,0,0,0
12,2,11,0,0,0
12,3,55,0,0,0
12,4,165,22,22,0
12,5,330,36,36,0
12,6,462,10,10,0
12,7,462,0,0,0
12,8,330,0,0,0
12,9,165,0,0,0
12,10,55,0,0,0
12,11,11,0,0,0
13,2,12,0,0,0
13,3,66,0,0,0
13,4,220,34,34,0
13,5,495,90,90,0
13,6,792,60,60,0
13,7,924,12,12,0
13,8,792,0,0,0
13,9,495,0,0,0
13,10,220,0,0,0
13,11,66,0,0,0
13,12,12,0,0,0
14,2,13,0,0,0
14,3,78,0,0,0
14,4,286,52,52,0
14,5,715,174,174,0
14,6,1287,195,195,0
14,7,1716,84,84,0
14,8,1716,14,14,0
14,9,1287,0,0,0
14,10,715,0,0,0
14,11,286,0,0,0
14,12,78,0,0,0
14,13,13,0,0,0
15,2,14,0,0,0
15,3,91,0,0,0
15,4,364,76,76,0
15,5,1001,294,294,0
15,6,2002,468,468,0
15,7,3003,325,325,0
15,8,3432,112,112,0
15,9,3003,16,16,0
15,10,2002,0,0,0
15,11,1001,0,0,0
15,12,364,0,0,0
15,13,91,0,0,0
15,14,14,0,0,0
16,2,15,0,0,0
16,3,105,0,0,0
16,4,455,106,106,0
16,5,1365,460,460,0
16,6,3003,934,934,0
16,7,5005,923,923,0
16,8,6435,491,491,0
16,9,6435,144,144,0
16,10,5005,18,18,0
16,11,3003,0,0,0
16,12,1365,0,0,0
16,13,455,0,0,0
16,14,105,0,0,0
16,15,15,0,0,0
17,2,16,0,0,0
17,3,120,0,0,0
17,4,560,140,140,0
17,5,1820,684,684,0
17,6,4368,1654,1654,0
17,7,8008,2150,2150,0
17,8,11440,1576,1576,0
17,9,12870,705,705,0
17,10,11440,180,180,0
17,11,8008,20,20,0
17,12,4368,0,0,0
17,13,1820,0,0,0
17,14,560,0,0,0
17,15,120,0,0,0
17,16,16,0,0,0
18,2,17,0,0,0
18,3,136,0,0,0
18,4,680,182,182,0
18,5,2380,974,974,0
18,6,6188,2695,2695,0
18,7,12376,4360,4360,0
18,8,19448,4136,4136,0
18,9,24310,2505,2505,0
18,10,24310,973,973,0
18,11,19448,220,220,0
18,12,12376,22,22,0
18,13,6188,0,0,0
18,14,2380,0,0,0
18,15,680,0,0,0
18,16,136,0,0,0
18,17,17,0,0,0
19,2,18,0,0,0
19,3,153,0,0,0
19,4,816,232,232,0
19,5,3060,1344,1344,0
19,6,8568,4130,4130,0
19,7,18564,7970,7970,0
19,8,31824,9400,9400,0
19,9,43758,7238,7238,0
19,10,48620,3790,3790,0
19,11,43758,1301,1301,0
19,12,31824,264,264,0
19,13,18564,24,24,0
19,14,8568,0,0,0
19,15,3060,0,0,0
19,16,816,0,0,0
19,17,153,0,0,0
19,18,18,0,0,0
20,2,19,0,0,0
20,3,171,0,0,0
20,4,969,290,290,0
20,5,3876,1806,1806,0
20,6,11628,6057,6057,0
20,7,27132,13436,13436,0
20,8,50388,19126,19126,0
20,9,75582,18042,18042,0
20,10,92378,11927,11927,0
20,11,92378,5511,5511,0
20,12,75582,1695,1695,0
20,13,50388,312,312,0
20,14,27132,26,26,0
20,15,11628,0,0,0
20,16,3876,0,0,0
20,17,969,0,0,0
20,18,171,0,0,0
20,19,19,0,0,0
